,Latitude,Longitude,NumberofStories,YearBuilt,OccupancyClass,StructureType,PlanArea,ReplacementCost,BldgID,BuildingType,DesignLevel,NoUnits,FoundationType,SplitLevel,FirstFloorHt,FloodZone,DSWII,WindZone,AvgJanTemp,RoofShape,RoofSlope,RoofCover,RoofSystem,MeanRoofHt,WindowArea,Garage,z0,Address,City,State
1,39.3946476,-74.38335171,2,1958,RES1,nav,2374.401933,1,NJBF000076747,3001,NE,1,3507,NO,-0.48,6106,124.720242,I,Above,Flat,0,5701,Wood,41.01907403,0,1.1,0.03,304 29TH STREET SO,Brigantine,NJ
2,39.40478555,-74.37292084,2,1950,RES1,nav,1818.980493,1,NJBF000078331,3001,NE,1,3505,NO,1.33,6106,124.815139,I,Above,Hip,0,5701,Wood,37.65467865,0,0,0.03,117 12TH STREET SO,Brigantine,NJ
3,39.40217618,-74.37051873,3,2008,RES1,nav,1619.336001,1,NJBF000077993,3001,NE,1,3502,NO,5.55,6106,124.886524,I,Above,Hip,0,5701,Wood,46.37095544,0,1.1,0.03,323 12TH STREET SO,Brigantine,NJ
4,39.3948475,-74.3972315,3,1997,RES1,nav,3055.902695,1,NJBF000076799,3001,NE,2,3507,YES,0.45,6106,124.458543,I,Above,Gable,0,5701,Wood,45.02992381,0,1.2,0.03,3943 ATL-BRIGANTINE BLVD,Brigantine,NJ
5,39.38753797,-74.39629697,2,1968,RES1,nav,1582.19943,1,NJBF000074714,3001,NE,1,3507,NO,1.25,6112,124.550411,I,Above,Hip,0,5701,Wood,43.76175332,0,0,0.35,11 HUDSON COVE,Brigantine,NJ
6,39.37750766,-74.40624347,3,2008,RES1,nav,2517.40494,1,NJBF000073094,3001,NE,1,3507,NO,0.3,6106,124.468658,I,Above,Hip,0,5701,Wood,44.3589516,0,1.1,0.03,5216 OCEAN DRIVE SOUTH,Brigantine,NJ
7,39.38842155,-74.39774174,2,1968,RES1,nav,1848.058233,1,NJBF000075007,3001,NE,1,3507,NO,2.6,6106,124.51451,I,Above,Gable,0,5701,Wood,30.78723018,0,0,0.03,4503 HARBOR BEACH BLVD,Brigantine,NJ
8,39.39420925,-74.39982597,1,1957,RES1,nav,1741.939084,1,NJBF000076649,3001,NE,1,3507,NO,0.77,6106,124.416655,I,Above,Hip,0,5701,Wood,24.63089952,0,0,0.03,4116 ATL-BRIGANTINE BLVD,Brigantine,NJ
9,39.39605527,-74.37686411,2,1955,RES1,nav,2607.634807,1,NJBF000077041,3001,NE,1,3507,NO,1.91,6106,124.827938,I,Above,Hip,0,5701,Wood,36.70707309,0,0,0.03,404 22ND STREET SO,Brigantine,NJ
10,39.39195514,-74.39192268,2,1975,RES1,nav,1822.850966,1,NJBF000076014,3001,NE,2,3507,NO,0.03,6106,124.587066,I,Above,Gable,0,5701,Wood,42.49945715,0,0,0.03,227 39TH STREET SO,Brigantine,NJ
11,39.39230634,-74.39190046,1,1950,RES1,nav,1452.656628,1,NJBF000076122,3001,NE,1,3507,NO,2.99,6106,124.583936,I,Above,Hip,0,5701,Wood,20.3015897,0,0,0.03,214 38TH STREET SO,Brigantine,NJ
12,39.38827458,-74.40175717,2,1970,RES1,nav,1484.453177,1,NJBF000074951,3001,NE,1,3507,YES,1.24,6106,124.441341,I,Above,Hip,0,5701,Wood,31.03331003,0,1.1,0.03,36 SHIPMASTER DR,Brigantine,NJ
13,39.39283616,-74.38484882,1,1955,RES1,nav,1193.381064,1,NJBF000076280,3001,NE,1,3507,NO,0.15,6106,124.710439,I,Above,Hip,0,5701,Wood,19.31594674,0,0,0.03,344 32ND STREET SO,Brigantine,NJ
14,39.4010149,-74.37840223,2,1956,RES1,nav,2221.005922,1,NJBF000077814,3001,NE,1,3507,YES,2.23,6106,124.749357,I,Above,Hip,0,5701,Wood,31.33017882,0,1.1,0.03,1905 REVERE BLVD,Brigantine,NJ
15,39.39508401,-74.37938833,3,2009,RES1,nav,4174.045602,1,NJBF000076854,3001,NE,1,3507,NO,-0.62,6106,124.790239,I,Above,Flat,0,5701,Wood,37.32194809,0,1.2,0.03,2506 OCEAN AVE,Brigantine,NJ
16,39.39891822,-74.38374712,1,1951,RES1,nav,1854.784061,1,NJBF000077477,3001,NE,1,3507,NO,0.97,6106,124.669854,I,Above,Gable,0,5701,Wood,23.20650706,0,0,0.03,103 26TH STREET SO,Brigantine,NJ
17,39.39846003,-74.37610456,1,1953,RES1,nav,2564.4215,1,NJBF000077411,3001,NE,1,3507,NO,0.91,6106,124.818181,I,Above,Hip,0,5701,Wood,22.62546519,0,0,0.03,315 20TH STREET SO,Brigantine,NJ
18,39.3846399,-74.40300921,2,1980,RES1,nav,7108.155643,1,NJBF000074052,3001,NE,1,3507,YES,-0.9,6110,124.455304,I,Above,Gable,0,5701,Wood,35.41950816,0,0,0.35,36 DELMAR DRIVE,Brigantine,NJ
19,39.39273002,-74.38416265,2,1960,RES1,nav,1044.401088,1,NJBF000076250,3001,NE,1,3507,NO,0.3,6106,124.724352,I,Above,Gable,0,5701,Wood,39.90304837,0,1.2,0.03,3119 OCEAN AVE,Brigantine,NJ
20,39.39505885,-74.39231003,2,1925,RES1,nav,3546.990298,1,NJBF000076852,3001,NE,1,3507,NO,-0.91,6106,124.54835,I,Above,Flat,0,5701,Wood,31.73204006,0,0,0.03,,Brigantine,NJ
