**REC.1**, **Building Recovery**, **_**, **_**, **_**, **_**, **_**, **_**, **_**, **_**, **_**
REC.1.1, Incorporate advanced methods for building recovery time estimation,SP, M, _, _, _, _, _, _, _
**REC.2**, **Housing and Community Recovery**, **_**, **_**, **_**, **_**, **_**, **_**, **_**, **_**, **_**
REC.2.1, Incorporate modeling of the recovery of households and communities,SP, M, _, _, _, _, _, _, _
**REC.3**, **Infrastructure Recovery**, **_**, **_**, **_**, **_**, **_**, **_**, **_**, **_**, **_**
REC.3.1, Incorporate modeling of the recovery of transportation networks,SP, M, _, _, _, _, _, _, _
REC.3.2, Incorporate modeling of the recovery of buried pipeline networks,SP, M, _, _, _, _, _, _, _
REC.3.3, Incorporate modeling of the recovery of power networks,SP, M, _, _, _, _, _, _, _
**REC.4**, **Business Recovery**, **_**, **_**, **_**, **_**, **_**, **_**, **_**, **_**, **_**
REC.4.1, Incorporate modeling of the recovery of businesses,SP, M, _, _, _, _, _, _, _
REC.4.2, Ability to incorporate improved indirect economic loss estimation models,GC, M, _, _, _, _, _, _, _
REC.4.3, Ability to include demand surge in determination of losses,GC, M, _, _, _, _, _, _, _
**REC.5**, **Interdependencies**, **_**, **_**, **_**, **_**, **_**, **_**, **_**, **_**, **_**
REC.5.1, Implement a framework to model interdependencies between the recovery of various systems,SP, M, Implemented, _, _, _, _, _, _
REC.5.2, Ability to include lifeline disruptions,GC, M, _, _, _, _, _, _, _
**REC.6**, **Metrics of recovery**, **_**, **_**, **_**, **_**, **_**, **_**, **_**, **_**, **_**
REC.6.1, Implement metrics to inform recovery and community resilience based on the outputs of the available recovery models,SP, M, _, _, _, _, _, _, _
