ID,RoofShape,FloodZone,Area,Longitude,Latitude,Terrain,DSWII,BuildingType,OccupancyClass,AvgJanTemp,Garage,RoofSlope,NumberofStories,MeanRoofHt,YearBuilt
1,Gable,X,478,-93.24,30.14,76,133.1,Wood,RES1,Above,2,0.03,1,12.6,1991
2,Gable,X,358,-93.24,30.14,24,133.1,Wood,RES1,Above,2,0.07,1,13.3,1992
3,Gable,X,292,-93.24,30.13,76,133.3,Wood,RES1,Above,2,0.31,2,29.6,1987
4,Gable,X,151,-93.24,30.14,76,133.2,Wood,RES1,Above,0,0.11,1,14,1990
5,Gable,X,519,-93.24,30.13,76,133.2,Wood,RES1,Above,0,0.07,1,13.2,1988
6,Hip,X,559,-93.24,30.14,76,133.1,Wood,RES1,Above,0,0.1,1,13.7,1989
7,Hip,X,427,-93.24,30.14,76,133.2,Wood,RES1,Above,2,0.22,1,15.9,1988
8,Hip,X,607,-93.24,30.14,76,133.1,Wood,RES1,Above,2,0.26,1,16.7,1990
9,Hip,X,544,-93.24,30.14,24,133.1,Wood,RES1,Above,0,0.16,1,14.9,1989
10,Gable,X,469,-93.24,30.13,76,133.2,Wood,RES1,Above,2,0.06,1,13,1990
11,Hip,X,458,-93.24,30.14,76,133.2,Wood,RES1,Above,0,0.14,1,14.6,1988
12,Hip,X,742,-93.24,30.14,24,133.1,Wood,RES1,Above,0,0.25,1,16.5,1992
13,Gable,X,524,-93.24,30.13,76,133.2,Wood,RES1,Above,0,0.17,2,27,1988
14,Gable,X,442,-93.24,30.14,76,133.1,Wood,RES1,Above,0,0.24,1,16.4,1991
15,Flat,X,515,-93.24,30.14,76,133.1,Wood,RES1,Above,0,0,1,12,1992
16,Gable,X,453,-93.24,30.13,76,133.3,Wood,RES1,Above,0,0.19,2,27.4,1989
17,Gable,X,455,-93.24,30.13,21,133.2,Wood,RES1,Above,0,0.06,1,13.1,1988
18,Hip,X,378,-93.24,30.14,76,133.1,Wood,RES1,Above,2,0.14,1,14.6,1987
19,Gable,X,507,-93.24,30.13,21,133.2,Wood,RES1,Above,0,0.32,1,17.8,1988
20,Gable,X,345,-93.24,30.14,76,133.1,Wood,COM1,Above,2,0.18,1,15.4,1991
21,Gable,X,605,-93.24,30.14,21,133.1,Wood,RES1,Above,0,0.28,1,17,1987
22,Flat,X,371,-93.24,30.14,76,133.1,Wood,RES1,Above,0,0,1,12,1990
23,Hip,X,413,-93.24,30.14,76,133.2,Wood,RES1,Above,0,0.28,1,17.2,1990
24,Gable,X,497,-93.24,30.14,21,133.2,Wood,RES1,Above,0,0.19,1,15.5,1989
25,Hip,X,611,-93.24,30.14,76,133.1,Wood,RES1,Above,0,0.27,1,16.9,1992
26,Flat,X,497,-93.24,30.13,76,133.3,Wood,RES1,Above,0,0,1,12,1987
27,Gable,X,544,-93.24,30.14,21,133.2,Wood,RES1,Above,0,0.18,1,15.3,1990
28,Hip,X,579,-93.24,30.13,76,133.3,Wood,RES1,Above,0,0.25,1,16.6,1984
29,Hip,X,480,-93.24,30.13,76,133.2,Wood,RES1,Above,0,0.08,1,13.4,1986
30,Hip,X,408,-93.24,30.14,76,133.1,Wood,RES1,Above,0,0.19,1,15.4,1990
31,Hip,X,502,-93.24,30.13,76,133.3,Wood,RES1,Above,1,0.31,1,17.6,1983
32,Hip,X,466,-93.24,30.14,76,133.2,Wood,RES1,Above,2,0.06,1,13.1,1989
33,Gable,X,243,-93.24,30.14,76,133.1,Wood,COM1,Above,0,0.04,1,12.6,1991
34,Gable,X,405,-93.24,30.13,76,133.2,Wood,RES1,Above,0,0.1,2,25.8,1989
35,Gable,X,526,-93.24,30.14,76,133.2,Wood,RES1,Above,2,0.12,2,26.3,1991
36,Hip,X,455,-93.24,30.13,76,133.2,Wood,RES1,Above,0,0.17,1,15.1,1988
37,Hip,X,485,-93.24,30.13,21,133.2,Wood,RES1,Above,1,0.25,1,16.5,1987
38,Gable,X,424,-93.24,30.14,76,133.2,Wood,RES1,Above,0,0.24,1,16.3,1991
39,Hip,X,513,-93.24,30.13,76,133.2,Wood,RES1,Above,0,0.3,1,17.5,1985
40,Gable,X,421,-93.24,30.14,76,133.1,Wood,RES1,Above,1,0.3,1,17.4,1992
41,Hip,X,382,-93.24,30.14,76,133.2,Wood,RES1,Above,0,0.13,1,14.3,1988
42,Gable,X,394,-93.24,30.14,76,133.1,Wood,RES1,Above,0,0.17,1,15.1,1989
43,Hip,X,526,-93.24,30.13,76,133.2,Wood,RES1,Above,0,0,1,12.1,1984
44,Hip,X,674,-93.24,30.14,21,133.1,Wood,RES1,Above,0,0.28,1,17.2,1985
45,Gable,X,425,-93.24,30.13,76,133.3,Wood,RES1,Above,0,0.18,3,39.3,1990
46,Gable,X,729,-93.24,30.14,76,133.1,Wood,RES1,Above,0,0.04,2,24.8,1991
47,Gable,X,376,-93.24,30.14,76,133.2,Wood,RES1,Above,2,0.23,1,16.2,1991
48,Gable,X,716,-93.24,30.13,76,133.2,Wood,COM1,Above,2,0.3,2,29.4,1987
49,Flat,X,471,-93.24,30.13,76,133.3,Wood,RES1,Above,0,0,1,12,1986
50,Hip,X,475,-93.24,30.14,21,133.1,Wood,RES1,Above,1,0.27,1,16.9,1989
51,Hip,X,370,-93.24,30.14,76,133.1,Wood,RES1,Above,0,0.24,2,28.4,1989
52,Gable,X,458,-93.24,30.14,76,133.1,Wood,RES1,Above,2,0.09,1,13.7,1990
53,Gable,X,501,-93.24,30.13,76,133.2,Wood,RES1,Above,0,0,1,12,1984
54,Hip,X,567,-93.24,30.14,24,133.1,Wood,COM1,Above,0,0.12,1,14.1,1989
55,Gable,X,554,-93.24,30.14,76,133.1,Wood,RES1,Above,0,0.09,2,25.6,1986
56,Gable,X,119,-93.24,30.14,21,133.1,Wood,COM1,Above,0,0.25,1,16.5,1990
57,Gable,X,288,-93.24,30.14,76,133.2,Wood,RES1,Above,0,0.17,1,15.1,1989
58,Hip,X,523,-93.24,30.14,76,133.1,Wood,RES1,Above,0,0.32,1,17.8,1991
